model_name,model_condition,prompt_format_used,task,prime_condition,role_order,n_rows,preference_total_mean,preference_total_std,preference_total_se,preference_mean_mean,preference_mean_std,preference_mean_se
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,agent_first,2048.0,4.943883895874023,2.5626757435066794,0.05662766863174532,0.1405242473360092,0.33196237713121335,0.00733540149900897
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,active,patient_first,2048.0,2.0050792694091797,1.931224796175362,0.0426744421678502,-0.2647335642860049,0.2948669499346437,0.006515700620205648
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,agent_first,2048.0,4.505041122436523,2.4567812482033613,0.0542877087655171,0.01841280573890322,0.3491908426485435,0.007716100398907181
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,filler,patient_first,2048.0,3.656665802001953,2.52401808925522,0.0557734470859337,-0.10255611510503859,0.35106590047164415,0.007757533714589411
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,agent_first,2048.0,4.864841461181641,2.630970346927877,0.05813678041916954,-0.035628447456965376,0.4240960223629006,0.009371286665220272
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,no_prime,patient_first,2048.0,4.07084846496582,2.0722746226661704,0.045791232442751344,-0.15944945320250495,0.3666576282466638,0.008102065478343506
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,agent_first,2048.0,0.3990745544433594,1.5395821414763147,0.03402028038848777,-0.38406033742995493,0.2777769308301037,0.0061380609827235266
meta-llama/Llama-3.2-3B,Llama_32_3B_exp3,plain_text,experiment_3_demo_prompt_continuation,passive,patient_first,2048.0,-0.5014762878417969,1.602035789454537,0.03540032407583897,-0.5258567688957093,0.2930320998969078,0.006475155779451166
