prompt_template,metric,condition_a,condition_b,n_items,mean_diff_b_minus_a,sd_diff,effect_size_dz,t_stat,t_p_two_sided,perm_p_two_sided,bootstrap_ci95_low,bootstrap_ci95_high,mcnemar_b,mcnemar_c,mcnemar_p_exact
role_labeled,logprob_delta,active,filler,2080,0.08173631716233033,1.071283943453287,0.07629752845809773,3.4797026777490063,0.0005123131755791645,0.0003,0.03656801112999136,0.12790609880278886,,,
role_labeled,passive_choice_delta,active,filler,2080,-0.005288461538461539,0.39412583534345236,-0.013418205720650169,-0.6119643364643996,0.5406282708935016,0.5781,-0.022115384615384617,0.011538461538461539,156.0,167.0,0.5779954497891779
role_labeled,logprob_delta,active,no_prime_eos,2080,-0.17949847189279702,1.3251304586478023,-0.1354572077951947,-6.177799179225135,7.797931054710467e-10,0.0,-0.2368235150337792,-0.12450374172140777,,,
role_labeled,passive_choice_delta,active,no_prime_eos,2080,-0.08461538461538462,0.4647806106336795,-0.18205446328757227,-8.302961002804125,1.805324915034155e-16,0.0,-0.10432692307692308,-0.06442307692307692,144.0,320.0,1.963997388704325e-16
role_labeled,logprob_delta,active,passive,2080,0.019235504189362894,0.37346951065690537,0.051504884978506166,2.348984165002019,0.01891785883405079,0.0205,0.0032538553427618284,0.03529988199902269,,,
role_labeled,passive_choice_delta,active,passive,2080,0.0057692307692307696,0.20092471319063857,0.028713395568005062,1.3095323199115951,0.1904987932499632,0.2293,-0.0028846153846153848,0.014423076923076924,48.0,36.0,0.2298644069691203
role_labeled,logprob_delta,no_prime_eos,filler,2080,0.26123478905512737,1.4309549775025312,0.18255975426359303,8.326005816939453,1.495848342737102e-16,0.0,0.19847339022474791,0.32276736084371804,,,
role_labeled,passive_choice_delta,no_prime_eos,filler,2080,0.07932692307692307,0.44941898127184254,0.17650995258907445,8.050092409099065,1.3776975734220263e-15,0.0,0.06009615384615385,0.0985576923076923,299.0,134.0,1.4726974651924344e-15
role_labeled,logprob_delta,passive,filler,2080,0.06250081297296745,1.052146554850156,0.05940314368264851,2.7092001840235573,0.006799899782423451,0.0081,0.01738512688101484,0.10768675563856958,,,
role_labeled,passive_choice_delta,passive,filler,2080,-0.011057692307692308,0.38034039150320786,-0.02907314751396591,-1.325939533028241,0.18500538606451328,0.1999,-0.027403846153846154,0.0057692307692307696,139.0,162.0,0.20470107013822447
role_labeled,logprob_delta,passive,no_prime_eos,2080,-0.19873397608215992,1.2585485674889862,-0.1579072760606031,-7.201679824345802,8.276086053323695e-13,0.0,-0.2534211191964837,-0.1440549864161473,,,
role_labeled,passive_choice_delta,passive,no_prime_eos,2080,-0.09038461538461538,0.45426083515190513,-0.19897074189631758,-9.07446200895699,2.577793216275254e-19,0.0,-0.11009615384615384,-0.07067307692307692,129.0,317.0,2.434519086169968e-19
