condition,term,coef,std_err,p_value,aic,bic,converged,n_obs,model,error
ANOMALOUS,C(target_structure)[T.passive],0.040468894196518335,0.028330348099866162,0.15315822929407802,2105.1853680977947,2155.0390840616606,True,30000,lmm_random_intercept,
CORE,C(target_structure)[T.passive],-0.05877485984091635,0.03410374331706994,0.0848137318290194,5551.744728201185,5601.598444165051,True,30000,lmm_random_intercept,
jabberwocky-only,C(target_structure)[T.passive],0.2224110385402014,0.013316132034251476,1.2594880803677521e-62,-5480.888799051929,-5431.035083088063,True,30000,lmm_random_intercept,
