prompt_template,metric,condition_a,condition_b,n_items,mean_diff_b_minus_a,sd_diff,effect_size_dz,t_stat,t_p_two_sided,perm_p_two_sided,bootstrap_ci95_low,bootstrap_ci95_high,mcnemar_b,mcnemar_c,mcnemar_p_exact
processing_teacher_forced,logprob_delta,active,filler,2048,0.202234605955194,0.23328232781364136,0.866909241906871,39.231833832040806,1.5785256270636308e-251,0.0,0.19213651533382076,0.21221200199688492,,,
processing_teacher_forced,logprob_sum_delta,active,filler,2048,2.827415347099304,3.881570410346807,0.7284204711480895,32.9645475010505,1.569387212196914e-191,0.0,2.658895742893219,2.991677513718605,,,
processing_teacher_forced,passive_choice_delta,active,filler,2048,0.099609375,0.31075784534989154,0.32053695985646585,14.50584690786734,1.847080548348218e-45,0.0,0.08642578125,0.11328125,211.0,7.0,2.067790275655136e-53
processing_teacher_forced,logprob_delta,active,no_prime,2048,0.25167388686390146,0.35465949488747245,0.7096211732432355,32.11378839512612,1.3393620870131675e-183,0.0,0.2363219073168261,0.266859792684788,,,
processing_teacher_forced,logprob_sum_delta,active,no_prime,2048,1.0025460720062256,5.598531554790619,0.17907304124210122,8.103920754559235,9.053906805887977e-16,0.0,0.7584035128355027,1.2451671630144119,,,
processing_teacher_forced,passive_choice_delta,active,no_prime,2048,0.0361328125,0.3720355367216701,0.09712193845350837,4.39523720207733,1.1631389241030508e-05,0.0,0.02001953125,0.05224609375,180.0,106.0,1.4293865875350005e-05
processing_teacher_forced,logprob_delta,active,passive,2048,0.428229685255732,0.1896828865335139,2.2576084383873543,102.16769510705089,0.0,0.0,0.4201423551123515,0.4364186961171828,,,
processing_teacher_forced,logprob_sum_delta,active,passive,2048,7.620449125766754,3.1891727860801558,2.3894751513708745,108.13530131271025,0.0,0.0,7.48675127774477,7.755828088521957,,,
processing_teacher_forced,passive_choice_delta,active,passive,2048,0.1103515625,0.31340398073679715,0.3521064481713633,15.934518860894759,5.601441113800058e-54,0.0,0.09716796875,0.1240234375,226.0,0.0,1.8546030753437107e-68
processing_teacher_forced,logprob_delta,no_prime,filler,2048,-0.0494392809087075,0.34415441194488605,-0.14365435744181265,-6.501054098822522,9.991511776081571e-11,0.0,-0.06415421344687805,-0.034218581253331604,,,
processing_teacher_forced,logprob_sum_delta,no_prime,filler,2048,1.8248692750930786,5.342057202869513,0.3416042183361198,15.459242193113619,4.485130140863827e-51,0.0,1.5961909592151642,2.054791757464409,,,
processing_teacher_forced,passive_choice_delta,no_prime,filler,2048,0.0634765625,0.26683478883200556,0.23788713150129653,10.765542645861297,2.5008875821852615e-26,0.0,0.05224609375,0.07520751953124982,142.0,12.0,2.286264010158805e-29
processing_teacher_forced,logprob_delta,passive,filler,2048,-0.22599507930053803,0.20745770042749892,-1.089354980966433,-49.298578826285265,0.0,0.0,-0.23495472619501384,-0.21704706193573578,,,
processing_teacher_forced,logprob_sum_delta,passive,filler,2048,-4.79303377866745,3.5662858042778076,-1.3439847622190408,-60.82180730729429,0.0,0.0,-4.950174817442894,-4.639397901296616,,,
processing_teacher_forced,passive_choice_delta,passive,filler,2048,-0.0107421875,0.1031115139366206,-0.10418029073458163,-4.714661762842158,2.584295261880861e-06,0.0,-0.015625,-0.0068359375,0.0,22.0,4.76837158203125e-07
processing_teacher_forced,logprob_delta,passive,no_prime,2048,-0.17655579839183053,0.37219941713144733,-0.4743580732945571,-21.46699586157867,2.2932122374309973e-92,0.0,-0.19286316193135158,-0.16044336447067703,,,
processing_teacher_forced,logprob_sum_delta,passive,no_prime,2048,-6.617903053760529,5.88771604931191,-1.1240187193697893,-50.86728055340781,0.0,0.0,-6.869598862528801,-6.366886059939861,,,
processing_teacher_forced,passive_choice_delta,passive,no_prime,2048,-0.07421875,0.26219056715047334,-0.2830717779309171,-12.810366319198975,3.386835554919175e-36,0.0,-0.08544921875,-0.0634765625,0.0,152.0,3.503246160812043e-46
