s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-35.09375,-36.84375,-7.69921875,-7.19140625,-23.5625,-23.484375,-6.92578125,-6.9375,1.75,-0.078125,-0.5078125,0.01171875
-32.625,-32.40625,-7.01953125,-6.83984375,-16.03125,-18.40625,-2.845703125,-3.439453125,-0.21875,2.375,-0.1796875,0.59375
-37.6875,-48.5,-9.9765625,-10.8984375,-36.9375,-32.03125,-12.15625,-12.1875,10.8125,-4.90625,0.921875,0.03125
-26.125,-27.53125,-7.20703125,-6.63671875,-15.9453125,-17.140625,-3.236328125,-3.279296875,1.40625,1.1953125,-0.5703125,0.04296875
-31.828125,-36.75,-8.078125,-9.0859375,-22.171875,-22.078125,-4.08984375,-1.697265625,4.921875,-0.09375,1.0078125,-2.392578125
-39.8125,-47.09375,-11.921875,-11.71875,-22.9375,-24.53125,-4.5703125,-6.0078125,7.28125,1.59375,-0.203125,1.4375
-34.59375,-35.6875,-13.0859375,-13.7265625,-21.546875,-22.84375,-6.0,-5.84375,1.09375,1.296875,0.640625,-0.15625
-40.25,-42.0625,-11.375,-10.203125,-29.375,-30.421875,-10.6171875,-11.8671875,1.8125,1.046875,-1.171875,1.25
-34.1875,-35.09375,-10.140625,-8.8203125,-24.03125,-26.15625,-7.07421875,-9.1171875,0.90625,2.125,-1.3203125,2.04296875
-33.15625,-35.71875,-5.26171875,-5.67578125,-23.515625,-26.03125,-5.4921875,-5.84765625,2.5625,2.515625,0.4140625,0.35546875
-30.96875,-33.65625,-8.3125,-9.15625,-23.84375,-22.9375,-7.22265625,-7.046875,2.6875,-0.90625,0.84375,-0.17578125
-35.5,-39.59375,-9.0234375,-9.28125,-25.78125,-22.4375,-9.7890625,-8.640625,4.09375,-3.34375,0.2578125,-1.1484375
-34.28125,-41.65625,-10.296875,-10.4609375,-32.09375,-30.734375,-10.03125,-9.96875,7.375,-1.359375,0.1640625,-0.0625
-43.625,-43.53125,-13.6015625,-13.703125,-24.4375,-23.484375,-5.82421875,-5.41015625,-0.09375,-0.953125,0.1015625,-0.4140625
-35.78125,-38.3125,-8.28125,-7.75390625,-23.65625,-24.125,-7.2578125,-6.99609375,2.53125,0.46875,-0.52734375,-0.26171875
-34.53125,-43.5,-8.171875,-8.640625,-31.640625,-33.21875,-8.09375,-9.28125,8.96875,1.578125,0.46875,1.1875
-38.34375,-39.46875,-13.96875,-13.546875,-27.109375,-27.859375,-9.078125,-9.3203125,1.125,0.75,-0.421875,0.2421875
-42.625,-39.53125,-6.30859375,-5.87109375,-20.0,-22.3125,-5.0625,-5.08203125,-3.09375,2.3125,-0.4375,0.01953125
-40.15625,-43.25,-7.62890625,-7.5234375,-24.671875,-22.21875,-7.26953125,-5.484375,3.09375,-2.453125,-0.10546875,-1.78515625
-33.59375,-35.53125,-6.23828125,-6.28125,-27.15625,-28.8125,-8.1640625,-9.40625,1.9375,1.65625,0.04296875,1.2421875
-32.84375,-41.90625,-9.9296875,-9.375,-25.15625,-24.046875,-5.6328125,-7.8984375,9.0625,-1.109375,-0.5546875,2.265625
-33.96875,-36.875,-10.28125,-10.0859375,-19.953125,-23.265625,-5.046875,-5.80078125,2.90625,3.3125,-0.1953125,0.75390625
-32.3125,-36.21875,-9.0546875,-8.78125,-21.109375,-23.453125,-6.59375,-10.3671875,3.90625,2.34375,-0.2734375,3.7734375
-45.25,-45.84375,-8.8046875,-8.9921875,-30.796875,-32.34375,-6.765625,-6.94140625,0.59375,1.546875,0.1875,0.17578125
-37.28125,-40.46875,-13.140625,-12.984375,-28.328125,-31.3125,-10.703125,-11.5078125,3.1875,2.984375,-0.15625,0.8046875
-41.03125,-41.78125,-9.7890625,-9.875,-27.9375,-30.296875,-7.6015625,-8.1171875,0.75,2.359375,0.0859375,0.515625
-39.5625,-40.1875,-11.625,-11.3671875,-29.5,-31.4375,-13.1875,-13.5859375,0.625,1.9375,-0.2578125,0.3984375
-39.15625,-44.15625,-13.2890625,-13.578125,-36.8125,-36.4375,-10.421875,-11.875,5.0,-0.375,0.2890625,1.453125
-38.34375,-40.6875,-11.75,-11.6796875,-29.125,-28.78125,-11.4296875,-10.8984375,2.34375,-0.34375,-0.0703125,-0.53125
-42.0625,-42.21875,-13.5078125,-13.5546875,-26.21875,-26.875,-7.76953125,-7.546875,0.15625,0.65625,0.046875,-0.22265625
