s_cong_Active,s_inc_Active,w_cong_Active,w_inc_Active,s_cong_Passive,s_inc_Passive,w_cong_Passive,w_inc_Passive,s_PE_Active,s_PE_Passive,w_PE_Active,w_PE_Passive
-61.1875,-62.0625,-10.78125,-11.1484375,-63.46875,-66.5625,-5.05078125,-5.53125,0.875,3.09375,0.3671875,0.48046875
-58.25,-58.96875,-11.5859375,-12.296875,-61.78125,-64.6875,-6.15234375,-6.828125,0.71875,2.90625,0.7109375,0.67578125
-59.03125,-61.75,-12.9453125,-13.671875,-59.59375,-60.71875,-4.0390625,-4.046875,2.71875,1.125,0.7265625,0.0078125
-66.5,-65.5,-11.1171875,-11.8203125,-64.875,-67.6875,-5.26171875,-5.34765625,-1.0,2.8125,0.703125,0.0859375
-54.84375,-56.4375,-8.0625,-8.7265625,-63.28125,-62.625,-5.65625,-6.015625,1.59375,-0.65625,0.6640625,0.359375
-63.75,-62.96875,-10.890625,-10.7890625,-64.3125,-69.5625,-4.80078125,-5.7578125,-0.78125,5.25,-0.1015625,0.95703125
-60.625,-62.09375,-15.4609375,-15.84375,-58.03125,-63.53125,-4.7421875,-5.91015625,1.46875,5.5,0.3828125,1.16796875
-55.53125,-54.25,-8.4609375,-9.2109375,-57.40625,-61.9375,-5.3046875,-5.73046875,-1.28125,4.53125,0.75,0.42578125
-55.84375,-57.09375,-9.09375,-9.1328125,-63.71875,-65.5,-5.8203125,-5.42578125,1.25,1.78125,0.0390625,-0.39453125
-67.625,-71.0625,-6.96484375,-7.046875,-70.5625,-70.0625,-5.51953125,-6.59375,3.4375,-0.5,0.08203125,1.07421875
-60.59375,-60.34375,-9.7109375,-9.84375,-61.3125,-64.0625,-6.625,-7.01171875,-0.25,2.75,0.1328125,0.38671875
-63.59375,-66.0625,-6.79296875,-8.28125,-64.5,-67.125,-5.30859375,-5.28125,2.46875,2.625,1.48828125,-0.02734375
-65.25,-66.1875,-7.1171875,-7.05078125,-64.375,-67.375,-5.26171875,-6.15234375,0.9375,3.0,-0.06640625,0.890625
