s_cong_Trans,s_inc_Trans,w_cong_Trans,w_inc_Trans,s_cong_Intrans,s_inc_Intrans,w_cong_Intrans,w_inc_Intrans,s_PE_Transitive,s_PE_Intransitive,w_PE_Transitive,w_PE_Intransitive
-56.6875,-64.4375,-6.01171875,-6.359375,-44.9375,-40.4375,-6.3515625,-5.90234375,7.75,-4.5,0.34765625,-0.44921875
-61.21875,-64.3125,-10.75,-11.390625,-39.78125,-39.84375,-11.1171875,-10.7734375,3.09375,0.0625,0.640625,-0.34375
-51.65625,-54.78125,-9.328125,-10.8203125,-35.15625,-34.34375,-11.5859375,-10.6953125,3.125,-0.8125,1.4921875,-0.890625
-59.875,-61.84375,-9.8125,-9.9609375,-38.40625,-38.40625,-11.5703125,-11.2421875,1.96875,0.0,0.1484375,-0.328125
-55.3125,-59.71875,-5.90625,-6.1484375,-44.125,-44.1875,-8.2578125,-7.8125,4.40625,0.0625,0.2421875,-0.4453125
-65.875,-67.5,-9.90625,-10.171875,-49.3125,-48.71875,-7.37890625,-7.54296875,1.625,-0.59375,0.265625,0.1640625
-57.90625,-59.75,-6.4296875,-6.3828125,-40.28125,-40.84375,-6.04296875,-6.234375,1.84375,0.5625,-0.046875,0.19140625
-64.8125,-68.125,-11.6171875,-12.3828125,-41.6875,-41.75,-11.2109375,-11.4921875,3.3125,0.0625,0.765625,0.28125
-63.5625,-65.3125,-11.9921875,-11.8203125,-47.65625,-47.125,-13.28125,-13.7734375,1.75,-0.53125,-0.171875,0.4921875
-74.5,-76.25,-9.40625,-9.796875,-57.375,-58.15625,-6.796875,-6.984375,1.75,0.78125,0.390625,0.1875
-49.9375,-53.53125,-4.9765625,-5.69921875,-34.3125,-33.90625,-4.9765625,-4.6640625,3.59375,-0.40625,0.72265625,-0.3125
-57.4375,-65.75,-8.5390625,-8.3359375,-40.6875,-38.90625,-9.5703125,-9.2421875,8.3125,-1.78125,-0.203125,-0.328125
-60.0,-59.09375,-11.6875,-12.2421875,-40.40625,-42.46875,-12.1171875,-11.6328125,-0.90625,2.0625,0.5546875,-0.484375
-57.375,-61.4375,-12.3671875,-14.4921875,-46.1875,-43.375,-19.328125,-17.140625,4.0625,-2.8125,2.125,-2.1875
-56.4375,-58.78125,-16.25,-16.5625,-41.40625,-40.25,-14.8203125,-14.609375,2.34375,-1.15625,0.3125,-0.2109375
-62.46875,-67.5625,-11.3046875,-11.3046875,-47.65625,-45.0,-7.8359375,-8.125,5.09375,-2.65625,0.0,0.2890625
-65.6875,-68.5,-8.0234375,-8.546875,-53.375,-51.0625,-10.5078125,-8.1953125,2.8125,-2.3125,0.5234375,-2.3125
-55.90625,-57.75,-6.4140625,-6.796875,-40.4375,-38.25,-7.6875,-7.640625,1.84375,-2.1875,0.3828125,-0.046875
-60.15625,-61.53125,-9.8515625,-9.9140625,-43.65625,-45.75,-11.6640625,-11.5390625,1.375,2.09375,0.0625,-0.125
