prompt_template,metric,condition_a,condition_b,n_items,mean_diff_b_minus_a,sd_diff,effect_size_dz,t_stat,t_p_two_sided,perm_p_two_sided,bootstrap_ci95_low,bootstrap_ci95_high,mcnemar_b,mcnemar_c,mcnemar_p_exact
role_labeled,logprob_delta,active,filler,2080,0.021397691506605882,0.9479937835234225,0.02257155255499331,1.0294211811814813,0.3034015453559252,0.3052,-0.02016290556639433,0.0618193474641213,,,
role_labeled,passive_choice_delta,active,filler,2080,-0.0014423076923076924,0.3892467986548768,-0.0037053810006707475,-0.16899137430376152,0.8658198657191531,0.9123,-0.01875,0.014903846153846155,156.0,159.0,0.9103019650256923
role_labeled,logprob_delta,active,no_prime_eos,2080,-0.11818687875683491,1.3642447809896638,-0.0866317250421135,-3.9510145570785355,8.041699265159178e-05,0.0001,-0.1769034193800046,-0.05766068057658582,,,
role_labeled,passive_choice_delta,active,no_prime_eos,2080,-0.06394230769230769,0.45398967483481917,-0.14084529062378484,-6.42353356440742,1.645539637052595e-10,0.0,-0.08317307692307692,-0.04471153846153846,152.0,285.0,1.9805775273551712e-10
role_labeled,logprob_delta,active,passive,2080,-0.020807324349880217,0.529658172039758,-0.03928443937672003,-1.7916460946453225,0.07333506438565303,0.0712,-0.043942972911665074,0.0021876533272174644,,,
role_labeled,passive_choice_delta,active,passive,2080,-0.010096153846153847,0.2866166444906871,-0.03522528799433313,-1.6065203085271336,0.10831149571129478,0.1196,-0.022596153846153846,0.002403846153846154,75.0,96.0,0.1259087711876437
role_labeled,logprob_delta,no_prime_eos,filler,2080,0.1395845702634408,1.3568721516675029,0.10287230826566889,4.691699112309544,2.8857425671169643e-06,0.0,0.08034909978508949,0.19815662014226498,,,
role_labeled,passive_choice_delta,no_prime_eos,filler,2080,0.0625,0.4568304758814627,0.1368122384554251,6.239598085587157,5.300703623142852e-10,0.0,0.04326923076923077,0.08173076923076923,286.0,156.0,6.423789638800168e-10
role_labeled,logprob_delta,passive,filler,2080,0.0422050158564861,0.8658304665174392,0.04874512677550372,2.2231198257108526,0.02631486831379688,0.0269,0.004753909540864139,0.07927344474941492,,,
role_labeled,passive_choice_delta,passive,filler,2080,0.008653846153846154,0.3746694748404457,0.02309728103025053,1.053398088692006,0.2922809898868156,0.327,-0.007211538461538462,0.025,155.0,137.0,0.3198113824661028
role_labeled,logprob_delta,passive,no_prime_eos,2080,-0.09737955440695469,1.223653843922737,-0.0795809655570398,-3.6294504493519084,0.00029088456535623697,0.0,-0.15080301105259702,-0.044795786653860276,,,
role_labeled,passive_choice_delta,passive,no_prime_eos,2080,-0.05384615384615385,0.4397128532888177,-0.1224575389220791,-5.58492305988303,2.644537940301245e-08,0.0,-0.07307692307692308,-0.03461538461538462,148.0,260.0,3.2205750903820945e-08
