prompt_template,condition_a,condition_b,passive_choice_rate_a,passive_choice_rate_b,passive_choice_rate_diff_b_minus_a,active_choice_rate_a,active_choice_rate_b,active_choice_rate_diff_b_minus_a,mean_logprob_a,mean_logprob_b,mean_logprob_diff_b_minus_a
processing_teacher_forced,active,filler,0.8908653846153847,0.989423076923077,0.09855769230769229,0.10913461538461539,0.010576923076923078,-0.0985576923076923,0.31653646065335656,0.5190897930635989,0.20255333241024237
processing_teacher_forced,active,no_prime_empty,0.8908653846153847,0.9048076923076923,0.013942307692307643,0.10913461538461539,0.09519230769230769,-0.013942307692307698,0.31653646065335656,0.4746114582970422,0.15807499764368566
processing_teacher_forced,active,no_prime_eos,0.8908653846153847,0.9240384615384616,0.033173076923076916,0.10913461538461539,0.07596153846153846,-0.03317307692307693,0.31653646065335656,0.4039060936909231,0.08736963303756656
processing_teacher_forced,active,passive,0.8908653846153847,1.0,0.10913461538461533,0.10913461538461539,0.0,-0.10913461538461539,0.31653646065335656,0.7444408667812863,0.42790440612792974
processing_teacher_forced,no_prime_empty,filler,0.9048076923076923,0.989423076923077,0.08461538461538465,0.09519230769230769,0.010576923076923078,-0.0846153846153846,0.4746114582970422,0.5190897930635989,0.044478334766556715
processing_teacher_forced,no_prime_eos,filler,0.9240384615384616,0.989423076923077,0.06538461538461537,0.07596153846153846,0.010576923076923078,-0.06538461538461537,0.4039060936909231,0.5190897930635989,0.11518369937267581
processing_teacher_forced,no_prime_eos,no_prime_empty,0.9240384615384616,0.9048076923076923,-0.019230769230769273,0.07596153846153846,0.09519230769230769,0.019230769230769232,0.4039060936909231,0.4746114582970422,0.07070536460611909
processing_teacher_forced,passive,filler,1.0,0.989423076923077,-0.01057692307692304,0.0,0.010576923076923078,0.010576923076923078,0.7444408667812863,0.5190897930635989,-0.22535107371768737
processing_teacher_forced,passive,no_prime_empty,1.0,0.9048076923076923,-0.09519230769230769,0.0,0.09519230769230769,0.09519230769230769,0.7444408667812863,0.4746114582970422,-0.2698294084842441
processing_teacher_forced,passive,no_prime_eos,1.0,0.9240384615384616,-0.07596153846153841,0.0,0.07596153846153846,0.07596153846153846,0.7444408667812863,0.4039060936909231,-0.3405347730903632
