baseline,baseline_passive_choice,active_priming,active_priming_ci_low,active_priming_ci_high,active_priming_p,passive_priming,passive_priming_ci_low,passive_priming_ci_high,passive_priming_p,imbalance_passive_minus_active
no_prime_eos,0.9456730769230768,-0.00865384615384615,-0.02067307692307692,0.00336538461538461,0.15990510325506163,0.05384615384615385,0.04423076923076923,0.06347355769230768,7.691996581455641e-27,0.0625
no_prime_empty,0.948076923076923,-0.00625,-0.01826923076923077,0.00576923076923076,0.31162975059087256,0.05144230769230769,0.04182692307692307,0.0610576923076923,1.0997710049283822e-25,0.05769230769230769
filler,0.9701923076923076,0.01586538461538461,0.00576923076923076,0.02596153846153846,0.00171975085055657,0.02932692307692307,0.02211538461538461,0.03653846153846154,3.6731758481189645e-15,0.013461538461538459
