"n_items","mean_diff","sd_diff","effect_size_dz","t_stat","t_p_two_sided","perm_p_two_sided","bootstrap_ci95_low","bootstrap_ci95_high","metric","prime_condition","mean_overlap","mean_strict"
2080,-0.143269230769231,0.354525317414995,-0.404115654740462,-18.4305095373169,2.22453069640549e-70,0,-0.158653846153846,-0.127884615384615,"passive_choice_indicator","active",0.834615384615385,0.977884615384615
2080,-0.632422148449954,0.387506765631982,-1.63202866256681,-74.4319589646435,0,0,-0.648900530774542,-0.616014838387987,"passive_minus_active_logprob","active",0.469282850029995,1.10170499847995
2080,0,0,NA,NA,NA,1,0,0,"passive_choice_indicator","filler",0.99375,0.99375
2080,-4.93867056516376e-08,5.99434257808702e-06,-0.00823888608438499,-0.375751017744281,0.707140340780769,0.7118,-3.03790737413329e-07,2.08107634074193e-07,"passive_minus_active_logprob","filler",1.54186081314989,1.5418608625366
2080,0,0,NA,NA,NA,1,0,0,"passive_choice_indicator","no_prime_empty",0.996634615384615,0.996634615384615
2080,-3.35341444527877e-06,5.45919250587701e-06,-0.614269315776776,-28.0149911296457,8.61095999278154e-147,0,-3.5856347144411e-06,-3.12309521131067e-06,"passive_minus_active_logprob","no_prime_empty",1.26703085828759,1.26703421170204
2080,0,0,NA,NA,NA,1,0,0,"passive_choice_indicator","no_prime_eos",0.985576923076923,0.985576923076923
2080,-4.67730165255827e-06,5.58972787458126e-06,-0.836767327051438,-38.1624617131977,5.57816616734053e-242,0,-4.91479714201573e-06,-4.43275130930528e-06,"passive_minus_active_logprob","no_prime_eos",1.53062234492165,1.5306270222233
2080,0,0,NA,NA,NA,1,0,0,"passive_choice_indicator","passive",1,1
2080,0.215968827797744,0.41786143518976,0.516843167639214,23.571675134905,4.49661903184217e-109,0,0.198004666551657,0.234275639714339,"passive_minus_active_logprob","passive",1.95483928084264,1.7388704530449
