s_cong_DO,s_inc_DO,w_cong_DO,w_inc_DO,s_cong_PO,s_inc_PO,w_cong_PO,w_inc_PO,s_PE_DO,s_PE_PO
-67.0625,-67.4375,-10.234375,-10.125,-69.75,-71.3125,-5.91015625,-5.984375,0.375,1.5625
-68.1875,-69.6875,-4.625,-4.78125,-71.9375,-72.375,-5.484375,-5.48828125,1.5,0.4375
-67.0,-69.4375,-6.765625,-6.95703125,-69.125,-72.5,-5.5078125,-5.78125,2.4375,3.375
-67.875,-69.9375,-6.28125,-6.32421875,-70.9375,-71.375,-5.69140625,-5.51953125,2.0625,0.4375
-66.125,-68.3125,-7.54296875,-8.0390625,-71.6875,-71.9375,-3.642578125,-3.505859375,2.1875,0.25
-63.78125,-67.5,-5.3515625,-5.5078125,-67.875,-67.375,-6.09765625,-6.21484375,3.71875,-0.5
-59.65625,-59.96875,-5.23046875,-5.36328125,-62.0625,-63.84375,-5.41796875,-5.66015625,0.3125,1.78125
-61.25,-61.5625,-5.0390625,-5.09765625,-63.53125,-64.9375,-5.37109375,-5.6171875,0.3125,1.40625
-69.625,-72.3125,-10.3984375,-10.8125,-75.1875,-76.25,-4.19921875,-4.546875,2.6875,1.0625
-66.5625,-67.875,-4.9296875,-5.00390625,-70.3125,-71.5,-5.89453125,-6.1171875,1.3125,1.1875
-67.5625,-69.8125,-5.62109375,-5.58203125,-69.1875,-69.625,-5.0234375,-5.06640625,2.25,0.4375
-63.4375,-65.3125,-10.5546875,-10.6875,-65.625,-66.1875,-4.921875,-5.02734375,1.875,0.5625
-65.75,-67.1875,-5.8828125,-5.85546875,-69.0,-69.875,-4.890625,-4.953125,1.4375,0.875
-67.625,-69.1875,-11.109375,-10.9296875,-70.75,-71.6875,-5.1796875,-5.29296875,1.5625,0.9375
-64.9375,-64.6875,-5.21875,-5.41015625,-67.75,-70.625,-5.95703125,-6.0703125,-0.25,2.875
-69.25,-71.4375,-4.578125,-4.6328125,-74.1875,-73.875,-3.7734375,-4.24609375,2.1875,-0.3125
-57.21875,-60.84375,-4.859375,-5.14453125,-63.28125,-63.9375,-5.171875,-5.59375,3.625,0.65625
-65.1875,-70.5625,-6.08203125,-6.234375,-72.75,-71.0625,-7.7578125,-7.62890625,5.375,-1.6875
-67.125,-70.5625,-10.0234375,-10.328125,-69.1875,-69.625,-3.79296875,-4.23828125,3.4375,0.4375
-70.625,-69.5625,-6.40625,-6.41015625,-69.25,-73.375,-7.375,-7.62890625,-1.0625,4.125
-68.5,-68.25,-9.0859375,-8.9609375,-69.8125,-71.6875,-5.390625,-5.484375,-0.25,1.875
-63.65625,-65.625,-5.87890625,-6.49609375,-68.0625,-68.9375,-3.77734375,-4.03515625,1.96875,0.875
-61.53125,-63.375,-5.1484375,-5.2265625,-63.65625,-63.9375,-4.23046875,-4.55078125,1.84375,0.28125
-68.4375,-68.8125,-7.34765625,-8.0859375,-69.625,-73.0625,-4.796875,-5.125,0.375,3.4375
-77.3125,-79.0,-5.65625,-5.62890625,-82.0,-84.25,-5.4453125,-5.6484375,1.6875,2.25
-64.1875,-65.9375,-4.28125,-4.359375,-67.8125,-68.6875,-5.51953125,-5.6328125,1.75,0.875
-68.3125,-67.125,-4.84375,-4.84765625,-68.0625,-71.1875,-6.00390625,-6.140625,-1.1875,3.125
-64.5625,-66.0,-7.01171875,-7.2734375,-65.6875,-66.625,-3.240234375,-3.51171875,1.4375,0.9375
-61.0625,-66.125,-4.74609375,-5.0703125,-69.25,-69.25,-4.30078125,-4.83984375,5.0625,0.0
-63.8125,-66.125,-6.60546875,-7.1015625,-68.0,-68.8125,-4.015625,-4.30859375,2.3125,0.8125
-65.6875,-64.75,-5.53125,-5.8125,-66.4375,-68.6875,-5.484375,-5.66796875,-0.9375,2.25
-64.0625,-66.875,-6.16015625,-5.91796875,-69.8125,-70.5,-5.20703125,-5.42578125,2.8125,0.6875
-68.125,-69.3125,-4.88671875,-4.953125,-72.9375,-72.875,-6.1796875,-6.34765625,1.1875,-0.0625
-67.6875,-66.1875,-6.9296875,-7.203125,-67.5,-70.25,-3.423828125,-3.654296875,-1.5,2.75
-60.75,-64.5,-5.46484375,-5.88671875,-67.0625,-66.4375,-4.25,-4.5390625,3.75,-0.625
-65.3125,-66.875,-9.5546875,-9.9453125,-67.6875,-71.625,-5.203125,-5.203125,1.5625,3.9375
-68.8125,-70.8125,-5.15234375,-5.1953125,-69.4375,-71.125,-4.64453125,-4.8125,2.0,1.6875
-75.25,-76.0625,-7.67578125,-8.09375,-77.4375,-78.9375,-3.6875,-3.654296875,0.8125,1.5
-61.84375,-64.9375,-5.1640625,-5.4140625,-68.4375,-68.5,-4.484375,-4.89453125,3.09375,0.0625
-66.0625,-68.5,-5.44140625,-5.48046875,-67.1875,-68.5625,-5.11328125,-5.2890625,2.4375,1.375
-63.6875,-67.125,-5.3125,-5.5859375,-67.25,-67.5,-4.9921875,-5.3359375,3.4375,0.25
-67.1875,-68.3125,-8.21875,-8.34375,-68.8125,-69.1875,-4.85546875,-4.86328125,1.125,0.375
-65.5625,-65.25,-7.453125,-7.578125,-69.625,-71.375,-3.89453125,-4.3203125,-0.3125,1.75
-63.96875,-63.5625,-5.421875,-5.546875,-66.1875,-68.3125,-4.29296875,-4.5703125,-0.40625,2.125
-61.09375,-63.0,-5.44140625,-5.64453125,-65.25,-64.4375,-3.673828125,-3.90625,1.90625,-0.8125
-64.9375,-66.875,-5.828125,-6.0859375,-68.625,-69.75,-8.6796875,-8.6484375,1.9375,1.125
-67.25,-66.8125,-8.2890625,-8.3515625,-69.6875,-72.1875,-5.64453125,-5.9609375,-0.4375,2.5
-75.4375,-76.6875,-5.59765625,-5.45703125,-77.8125,-77.8125,-3.611328125,-3.6796875,1.25,0.0
-60.5,-66.1875,-5.8125,-6.74609375,-67.5625,-67.0625,-3.150390625,-3.51171875,5.6875,-0.5
-65.75,-69.5,-6.4140625,-6.3359375,-74.25,-76.0,-3.974609375,-3.875,3.75,1.75
-63.875,-69.75,-6.33203125,-6.8125,-69.9375,-66.75,-7.46875,-6.73046875,5.875,-3.1875
-65.9375,-68.4375,-8.6875,-9.109375,-71.3125,-71.625,-4.79296875,-4.91015625,2.5,0.3125
-66.875,-69.0,-5.2265625,-5.33984375,-70.75,-71.6875,-6.0234375,-6.16015625,2.125,0.9375
-68.5,-71.3125,-4.55859375,-4.58984375,-74.25,-73.875,-6.015625,-6.48046875,2.8125,-0.375
-65.5625,-66.1875,-11.4140625,-11.171875,-69.4375,-70.125,-6.29296875,-6.27734375,0.625,0.6875
-58.65625,-63.03125,-6.24609375,-6.98828125,-62.9375,-63.1875,-4.64453125,-4.85546875,4.375,0.25
-74.5625,-77.5,-5.65625,-5.796875,-76.75,-76.75,-4.546875,-4.6796875,2.9375,0.0
-77.0,-78.375,-6.58203125,-6.3984375,-80.75,-81.5,-4.80859375,-4.953125,1.375,0.75
-65.875,-69.0,-5.80859375,-5.75390625,-71.125,-70.3125,-4.8984375,-5.18359375,3.125,-0.8125
-69.125,-72.3125,-5.078125,-5.3203125,-71.9375,-71.75,-3.625,-3.884765625,3.1875,-0.1875
-60.09375,-61.96875,-4.96484375,-5.31640625,-64.0,-64.75,-4.125,-4.24609375,1.875,0.75
-70.75,-71.8125,-5.1015625,-5.33984375,-73.0625,-74.25,-4.1328125,-4.421875,1.0625,1.1875
-60.9375,-60.875,-4.83984375,-4.89453125,-65.0625,-67.375,-5.80078125,-6.1640625,-0.0625,2.3125
-65.1875,-67.1875,-6.1875,-6.43359375,-68.5,-69.8125,-6.94140625,-7.15234375,2.0,1.3125
-63.0,-64.4375,-5.25,-5.44921875,-64.9375,-67.375,-4.55859375,-4.4765625,1.4375,2.4375
-63.90625,-64.3125,-6.84765625,-6.6640625,-68.5,-70.625,-5.4296875,-5.80859375,0.40625,2.125
-67.3125,-68.125,-7.25390625,-7.515625,-69.0,-72.875,-6.50390625,-6.453125,0.8125,3.875
-64.8125,-66.4375,-8.46875,-8.6484375,-68.5625,-70.125,-2.96484375,-3.34765625,1.625,1.5625
-58.625,-60.0,-6.36328125,-6.328125,-62.78125,-63.03125,-7.390625,-6.9453125,1.375,0.25
-70.375,-68.5625,-5.40234375,-5.52734375,-69.25,-72.5,-5.5390625,-5.51171875,-1.8125,3.25
