prompt_template,metric,condition_a,condition_b,n_items,mean_diff_b_minus_a,sd_diff,effect_size_dz,t_stat,t_p_two_sided,perm_p_two_sided,bootstrap_ci95_low,bootstrap_ci95_high,mcnemar_b,mcnemar_c,mcnemar_p_exact
role_labeled,logprob_delta,active,filler,2080,0.09380602423961346,1.6383105023420537,0.0572577811748827,2.6113565996522117,0.009083234663248688,0.0079,0.022246501227984064,0.16529324374519858,,,
role_labeled,passive_choice_delta,active,filler,2080,-0.01971153846153846,0.31185632269422725,-0.06320711503055038,-2.8826879699699153,0.003983474057042767,0.0048,-0.03317307692307692,-0.00625,81.0,122.0,0.004870281449636702
role_labeled,logprob_delta,active,no_prime_eos,2080,0.9462765771609086,2.460804864427698,0.3845394613932468,17.537697754457547,2.5107356018675942e-64,0.0,0.8406952980275338,1.0527398671095187,,,
role_labeled,passive_choice_delta,active,no_prime_eos,2080,0.051923076923076926,0.39500994422021335,0.13144751843039787,5.994929208184226,2.3938001574978424e-09,0.0,0.035096153846153846,0.06923076923076923,219.0,111.0,2.8107816725152448e-09
role_labeled,logprob_delta,active,passive,2080,2.883218204058134,1.7388417532394398,1.6581257027482434,75.6221671199514,0.0,0.0,2.8088521282833354,2.957087032863727,,,
role_labeled,passive_choice_delta,active,passive,2080,0.24807692307692308,0.43422170437287966,0.5713139637623728,26.055925659913473,9.40241606509366e-130,0.0,0.2298076923076923,0.2663581730769229,518.0,2.0,7.893080420227431e-152
role_labeled,logprob_delta,no_prime_eos,filler,2080,-0.8524705529212951,2.0107330388009097,-0.42396008643179284,-19.33555487089747,9.874535071283924e-77,0.0,-0.9374744946910785,-0.7659047468579733,,,
role_labeled,passive_choice_delta,no_prime_eos,filler,2080,-0.07163461538461538,0.3658895360968289,-0.19578208261648133,-8.929036770961646,9.226474632773355e-19,0.0,-0.0875,-0.05625,70.0,219.0,4.9131114970148905e-19
role_labeled,logprob_delta,passive,filler,2080,-2.78941217981852,1.801505999964978,-1.5483779570385818,-70.61689981522399,0.0,0.0,-2.8672392301490675,-2.711845051531608,,,
role_labeled,passive_choice_delta,passive,filler,2080,-0.26778846153846153,0.4483102940287226,-0.5973283797077047,-27.24236557028046,5.304426142919608e-140,0.0,-0.2875,-0.2485576923076923,5.0,562.0,2.004212853015533e-159
role_labeled,logprob_delta,passive,no_prime_eos,2080,-1.936941626897225,2.4713467815072363,-0.7837595441445552,-35.74493485682099,1.4996233238481483e-218,0.0,-2.041997904066856,-1.827767990552462,,,
role_labeled,passive_choice_delta,passive,no_prime_eos,2080,-0.19615384615384615,0.46211406984576175,-0.4244706208995449,-19.358838825049343,6.734195056674441e-77,0.0,-0.21586538461538463,-0.1764423076923077,58.0,466.0,3.51324026250128e-80
